"Orthogroup"	"Kluyveromyces_marxianus_DMKU3_1042"	"Saccharomyces_cerevisiaeS288c"	"Scheffersomyces_stipitis_CBS6054"	"Schizosaccharomyces_pombe_972"
"OG0000003"	"W0TBK0 W0TC80 W0TD85 W0TDX2 W0TFY3 W0TGD9 W0TH43"	"P13181 P23585 P32465 P32466 P32467 P38695 P39003 P39004 P39924 P40885 P40886 P42833 P43581 P47185 P53631 P54854 P54862"	"A3GES9 F2Z662 F2Z689 F2Z690"	""
"OG0000005"	"W0TB28 W0TE13 W0TFE5"	"P27895 P28742 P28743 P53086"	"A3LPQ3 A3LPX3 A3LRC1 A3LW70 A3LXT8"	"O14343 O59751 P24339 Q1MTQ1 Q1MTQ7 Q9US60 Q9UTL2"
"OG0000007"	"W0T5D6 W0TC88 W0TDP9 W0TET7 W0THZ8"	"P15938 P20095 P24384 P36009 P53131"	"A3LP11 A3LUW0"	"O42643 O42945 Q03319 Q10752 Q9HE06 Q9P774"
"OG0000009"	"W0T6P2 W0TE86 W0TEY1 W0TFX3 W0TGA3 W0TJK0"	"P32791 P36033 P53746 Q08905 Q08908 Q12473"	"A3GFP0 A3GG54 A3GG56 A3LP96 A3LS62"	""
"OG0000010"	"W0T3V3 W0T7Z3"	"P41816 Q03558"	"A3GH18 A3LND8 A3LRG9 A3LSP2 A3LT81 A3LT82 A3LT83 A3LTL6 A3LV12 A3LV13 A3LV14"	"Q09670 Q09671"
"OG0000011"	"W0T2S9 W0T759"	"P39105 P53541 Q03674 Q08108"	"A3LN39 A3LQB5 A3LS18 A3LWZ9 A3LYJ0"	"O13857 P0CU02 P0CU03 P78854 Q9UTH5 Q9Y7N6"
"OG0000012"	"W0T5V4 W0TBU9"	"P12630 P32329 P40583 P53057 P53379 Q12303 Q3E740"	"A3GG19 A3LMW9 A3LNW2 A3LY70 A3LZH2 A3M005"	"O59774 P32834"
"OG0000013"	"W0T7X2 W0TDC4"	"P08640 Q12140"	""	"O74346 P0CU04 P0CU05 Q7Z9I1 Q874R4 Q92344 Q9C0Y2 Q9HDY9 Q9P5N1 Q9P6S0 Q9P7Q2 Q9URU4"
"OG0000014"	"W0T4E2 W0T4M1 W0T6L0 W0TAB1 W0TGX8"	"P25613 P32907 Q12359"	"A3GG60 A3LT16 A3LT17 A3LT18 A3LTI5 A3LVY3 A3LZX7"	"O14201"
"OG0000015"	"W0T9M2"	"Q07824"	"A3M0J7"	"O43081 O59698 O59699 O59700 O59738 O59814 O59833 O74829 O74899 P33532 Q10084 Q9Y7S4"
