"Orthogroup"	"Kluyveromyces_marxianus_DMKU3_1042"	"Saccharomyces_cerevisiaeS288c"	"Scheffersomyces_stipitis_CBS6054"	"Schizosaccharomyces_pombe_972"
"OG0000953"	"W0T3R8"	"Q06410"	"A3LX29"	"O42651"
"OG0000954"	"W0TA05"	"P38862"	"A3LPA1"	"O43069"
"OG0000955"	"W0TFN1"	"Q12527"	"A3GG92"	"O14261"
"OG0000956"	"W0TIW1"	"Q12142"	"A3LZS3"	"O74312"
"OG0000957"	"W0TA43"	"Q06628"	"A3LQY1"	"O36019"
"OG0000958"	"W0TGM7"	"P53867"	"A3LQU0"	"Q9P373"
"OG0000959"	"W0TEF9"	"P40344"	"A3LX85"	"O43035"
"OG0000960"	"W0T4V8"	"Q12380"	"A3LR68"	"O74971"
"OG0000961"	"W0T4C1"	"P38316"	"A3GI31"	"Q9US24"
"OG0000962"	"W0T9X4"	"P53104"	"A3GH58"	"Q9Y7T4"
"OG0000963"	"W0TCD0"	"P53855"	"A3LT28"	"O94649"
"OG0000964"	"W0TD11"	"Q02948"	"A3GGG2"	"P87117"
"OG0000965"	"W0THY6"	"P38182"	"A3GFU8"	"O94272"
"OG0000966"	"W0TC49"	"Q02354"	"A3LQF0"	"O60188"
"OG0000967"	"W0T728"	"Q07508"	"A3LSU0"	"Q9USM4"
"OG0000969"	"W0T4N4"	"P08067"	"A3GHJ9"	"Q09154"
"OG0000970"	"W0T2T1"	"P23255"	"A3LTD9"	"P87121"
"OG0000971"	"W0T7W8"	"Q00618"	"A3LXF7"	"O94412"
"OG0000972"	"W0T515"	"P38206"	"A3M078"	"O94302"
"OG0000973"	"W0TGZ2"	"P39517"	"A3LWX3"	"Q09181"
"OG0000974"	"W0T4T4"	"P39705"	"A3LS94"	"O74500"
"OG0000975"	"W0T766"	"Q02457"	"A3LVU7"	"Q6E434"
"OG0000976"	"W0TDR7"	"P28007"	"A3GHP2"	"Q06975"
"OG0000977"	"W0T8W8"	"P32855"	"A3LUX9"	"O74562"
"OG0000978"	"W0T6J7"	"P53839"	"A3LTW9"	"O14075"
"OG0000979"	"W0TEA9"	"P40051"	"A3LPU9"	"Q10439"
"OG0000980"	"W0TG74"	"Q12094"	"A3LNC2"	"Q10409"
"OG0000981"	"W0THX9"	"P11972"	"A3LVE1"	"Q09777"
"OG0000982"	"W0T523"	"P22137"	"A3LV67"	"Q10161"
"OG0000983"	"W0T3P7"	"Q08496"	"A3LNH2"	"O74991"
