Accession	Description	PrimaryGeneName	GeneName	mass_ratio_repl1	mass_ratio_repl2	mass_ratio_repl3
D6VTK4	Pheromone alpha factor receptor OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=STE2 PE=1 SV=2	STE2	YFL026W	5.99939664496874e-05	5.74475323284433e-05	5.88659078962719e-05
D6W196	Truncated non-functional calcium-binding mitochondrial carrier SAL1-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SAL1 PE=1 SV=2	SAL1	YNL083W	4.91835018483564e-06	4.86452084883776e-06	4.83607929221835e-06
O13297	mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CET1 PE=1 SV=2	CET1	YPL228W	2.92305769963288e-05	2.98171827655524e-05	3.07143618858551e-05
O13329	DNA replication fork-blocking protein FOB1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FOB1 PE=1 SV=2	FOB1	YDR110W	1.50190508176677e-05	1.45291393168721e-05	1.50201112852488e-05
O13516	40S ribosomal protein S9-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPS9A PE=1 SV=3	RPS9A	YPL081W	0.000122561328669742	0.000141008297985475	0.00014112389505622
O13539	THO complex subunit THP2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=THP2 PE=1 SV=1	THP2	YHR167W	1.0722829021263e-05	1.09921295167511e-05	1.10946503438324e-05
O13547	Covalently-linked cell wall protein 14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CCW14 PE=1 SV=1	CCW14	YLR390W-A	4.84247692548239e-05	5.56916929450485e-05	4.67512895140099e-05
O13563	26S proteasome regulatory subunit RPN13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPN13 PE=1 SV=1	RPN13	YLR421C	4.63129990411881e-05	4.66549328929501e-05	4.57111977625189e-05
O13585	Dilute domain-containing protein YPR089W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YPR089W PE=1 SV=2		YPR089W	4.7407176694211e-05	4.41156735466143e-05	4.51155258245011e-05
O14455	60S ribosomal protein L36-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL36B PE=1 SV=3	RPL36B	YPL249C-A	0.00100914828343963	0.0010641732727885	0.00109689411842161
O14467	Multiprotein-bridging factor 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MBF1 PE=1 SV=2	MBF1	YOR298C-A	0.000257664719449241	0.000268679545203162	0.000251135335314161
