Accession	Description	PrimaryGeneName	GeneName	repl1_g_per_gDW	repl2_g_per_gDW	repl3_g_per_gDW
D6VTK4	Pheromone alpha factor receptor OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=STE2 PE=1 SV=2	STE2	YFL026W	3.14580532202546e-05	2.54962764760191e-05	2.81437358921718e-05
D6W196	Truncated non-functional calcium-binding mitochondrial carrier SAL1-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SAL1 PE=1 SV=2	SAL1	YNL083W	2.57895470205596e-06	2.15896424891202e-06	2.31212501799219e-06
O13297	mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CET1 PE=1 SV=2	CET1	YPL228W	1.53271587332105e-05	1.32334167319857e-05	1.4684507890973e-05
O13329	DNA replication fork-blocking protein FOB1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FOB1 PE=1 SV=2	FOB1	YDR110W	7.87529359866755e-06	6.44830052688195e-06	7.1811012552113e-06
O13516	40S ribosomal protein S9-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPS9A PE=1 SV=3	RPS9A	YPL081W	6.42654758169928e-05	6.25820884750259e-05	6.74712031543877e-05
O13539	THO complex subunit THP2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=THP2 PE=1 SV=1	THP2	YHR167W	5.62255416643383e-06	4.87851021375437e-06	5.30434202498025e-06
O13547	Covalently-linked cell wall protein 14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CCW14 PE=1 SV=1	CCW14	YLR390W-A	2.53917028418903e-05	2.47170025098099e-05	2.23517480953366e-05
O13563	26S proteasome regulatory subunit RPN13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPN13 PE=1 SV=1	RPN13	YLR421C	2.42843884951183e-05	2.07063213996368e-05	2.18544811949573e-05
O13585	Dilute domain-containing protein YPR089W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YPR089W PE=1 SV=2		YPR089W	2.48581245035562e-05	1.95793511762972e-05	2.15696909946347e-05
O14455	60S ribosomal protein L36-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL36B PE=1 SV=3	RPL36B	YPL249C-A	0.000529150551067422	0.000472299764353356	0.000524424059252289
